weekly_rents_per_bedroom,latitude,longitude,distance_to_CBD,bedrooms
49.5,51.58462,-0.14677,7732.922528,2
41.5,51.48831,-0.13829,3022.377026,2
99,51.54632,-0.07488,8219.83439,1
46,51.48847,-0.22097,9276.934751,1
110,51.47013,-0.04266,12127.0272,1
30,51.46788,-0.09993,7040.653874,1
50,51.51895,-0.21202,7801.996075,1
49,51.38918,-0.06793,16255.49996,1
118,51.51751,-0.19932,6383.902125,1
55.5,51.49185,-0.08823,6515.487759,2
90,51.53427,-0.06187,9152.71487,1
60,51.49836,-0.02547,13087.66758,1
85,51.4946,-0.19441,6268.346482,1
216,51.51691,-0.15862,1862.533639,1
114.5,51.54586,-0.18,5430.331086,2
50,51.52496,-0.18805,5238.396733,1
105,51.51762,-0.21359,7970.059761,1
44,51.52948,-0.08591,6429.63812,2
75,51.53919,-0.24072,11300.58998,2
45,51.55037,-0.11407,4986.897776,1
50,51.46932,-0.15277,5246.135182,1
50,51.43855,-0.32191,21751.67191,1
69,51.49865,-0.10284,4724.352757,1
79,51.5422,-0.20218,7337.15306,1
85,51.49146,-0.27072,14560.41426,1
42.5,51.53566,-0.06318,9048.594149,2
65,51.55083,-0.08425,7538.387709,1
35,51.48833,-0.18901,6027.818028,1
126,51.48606,-0.1243,3792.502381,1
39,51.5343,0.08195,24986.90917,1
35,51.51463,-0.05797,9338.738146,1
45,51.48416,-0.10375,5476.417278,1
69,51.49519,-0.19242,6038.4477,1
18,51.38447,-0.12659,14641.26767,1
94,51.53462,-0.14332,2159.973807,1
35,51.3676,-0.12209,16565.03001,1
65.75,51.55397,-0.0334,12815.69191,4
94,51.51662,-0.17332,3491.212663,1
67,51.53023,-0.19886,6543.534191,1
137.5,51.51164,-0.20278,6775.513048,2
36,51.51876,-0.20705,7249.017107,1
17,51.47973,-0.22205,9742.537071,3
65,51.52048,-0.11833,2690.533336,1
120,51.50226,-0.11054,3779.541043,2
55,51.52849,-0.07731,7337.353431,1
60,51.59056,-0.09624,9796.722729,1
180,51.5187,-0.13979,453.4431456,1
30,51.48747,-0.04066,11678.97462,1
75,51.48993,-0.19718,6755.278529,1
90,51.53895,-0.07748,7638.366697,1
37.5,51.47188,-0.18469,6769.923059,2
42,51.54826,-0.08522,7298.961168,1
140,51.52153,-0.1004,4673.072164,1
100,51.48668,-0.10513,5181.943998,1
100,51.49039,-0.19595,6609.642719,1
27.67,51.60477,-0.12547,10122.24768,3
40,51.50453,-0.10742,4020.427367,1
47,51.52057,-0.10572,4072.238174,2
120,51.49595,-0.2293,9946.647138,1
75,51.52111,-0.20535,7079.551361,2
170,51.51022,-0.19395,5808.720878,1
60,51.54376,-0.20845,8045.370668,1
42,51.54621,-0.20833,8144.491569,1
33,51.59914,-0.15154,9389.604645,1
65,51.57589,-0.06892,10555.8391,1
33,51.60552,-0.14845,10064.27936,1
29,51.42864,-0.15701,9774.246724,1
27,51.56138,-0.11088,6185.227176,1
41,51.55306,-0.04562,11507.56555,3
66,51.63546,-0.11726,13646.58044,1
50,51.54216,-0.09764,5765.184185,1
112.5,51.52932,-0.08094,6962.57191,4
100,51.53261,-0.08277,6858.34256,1
60,51.54937,-0.11814,4627.243399,1
56,51.63077,-0.13596,12863.26126,1
100,51.49383,-0.12021,3393.310945,1
36.33,51.5527,-0.13297,4283.120387,3
40,51.53302,-0.0921,5885.296563,1
60,51.55588,-0.13372,4610.422751,5
95,51.51753,-0.19611,6027.354458,2
229,51.51894,-0.19695,6129.192528,1
89.5,51.49825,-0.2062,7389.604285,2
94.5,51.49712,-0.20661,7466.614855,2
15,51.47569,-0.05913,10205.79121,3
57,51.42925,-0.12584,9728.379732,1
95,51.52135,-0.1087,3759.406177,1
45.33,51.55518,-0.07673,8504.055525,3
29,51.52333,-0.31282,19020.82294,1
40,51.54145,-0.0551,10087.69062,1
25,51.42007,-0.16835,10982.22906,1
30,51.56248,-0.00646,15955.48903,1
40,51.52984,-0.08155,6909.849249,1
38,51.54644,-0.10342,5512.896904,1
51,51.53183,0.0492,21335.12911,1
43.33,51.53417,-0.06552,8755.668247,3
125,51.50862,-0.12717,1801.225098,1
17.5,51.46938,-0.17134,6056.802509,2
30,51.51854,0.02291,18335.60614,2
39,51.44251,-0.01989,15799.65656,4
87,51.44293,-0.0201,15755.71613,1
50,51.44368,-0.02195,15536.2858,2
51.5,51.44177,-0.02204,15637.59414,2
85,51.44283,-0.0214,15637.30125,1
39.5,51.44365,-0.02287,15450.23074,4
30,51.58177,-0.07674,10358.7967,1
38,51.50423,-0.10777,3993.376343,1
29,51.50558,-0.32817,20734.25689,1
46,51.47176,0.05943,22908.83616,1
71,51.44267,-0.33194,22614.37347,1
30,51.53085,-0.3997,28712.66739,1
99.5,51.50177,-0.21433,8186.209561,2
136,51.52084,-0.20609,7158.817097,1
40,51.54046,-0.09883,5554.730802,2
72,51.5382,-0.18906,5826.965352,1
78,51.4228,-0.17757,11015.71339,1
59.5,51.43958,-0.05342,12949.79081,2
31,51.4255,-0.12506,10154.20454,1
50,51.61598,-0.02244,17380.3502,1
188,51.51816,-0.16574,2664.808881,1
60,51.42168,-0.17803,11150.31377,2
62,51.49281,-0.30921,18764.67172,2
89,51.51553,-0.19017,5361.584119,1
316.67,51.52864,-0.18484,4996.074853,3
149,51.49929,-0.08871,6180.396205,1
50,51.51428,-0.26447,13623.6982,1
96,51.52371,-0.11496,3145.682374,1
45,51.559,-0.07363,9021.679945,1
50,51.58588,-0.25342,14673.6872,1
62,51.50707,-0.24764,11786.95215,1
75,51.46865,-0.0433,12131.63442,1
60,51.58202,-0.3768,27148.91097,1
125,51.5115,-0.18749,5080.562868,2
34,51.53606,-0.23576,10684.61456,3
100,51.50414,-0.08274,6698.93859,2
45,51.52185,0.02417,18486.65008,1
45,51.52185,0.02417,18486.65008,1
190.67,51.53625,0.0048,16484.53617,3
91.67,51.54167,-0.14058,2942.504627,3
29,51.43027,-0.12881,9560.902914,1
49,51.59228,-0.25644,15344.04477,1
54,51.48794,-0.21467,8636.928057,1
34,51.57505,0.00514,17656.29067,1
86,51.5206,-0.34408,22483.40296,1
